weekday,month,hour,vehicles,weekday_de,month_name
Friday,3,0,2.75,Freitag,March
Friday,3,1,2.5,Freitag,March
Friday,3,2,2.5,Freitag,March
Friday,3,3,0.75,Freitag,March
Friday,3,4,6.5,Freitag,March
Friday,3,5,13.0,Freitag,March
Friday,3,6,64.0,Freitag,March
Friday,3,7,86.5,Freitag,March
Friday,3,8,96.25,Freitag,March
Friday,3,9,168.75,Freitag,March
Friday,3,10,172.25,Freitag,March
Friday,3,11,131.25,Freitag,March
Friday,3,12,122.25,Freitag,March
Friday,3,13,122.75,Freitag,March
Friday,3,14,111.25,Freitag,March
Friday,3,15,71.0,Freitag,March
Friday,3,16,68.25,Freitag,March
Friday,3,17,66.25,Freitag,March
Friday,3,18,72.75,Freitag,March
Friday,3,19,43.0,Freitag,March
Friday,3,20,25.75,Freitag,March
Friday,3,21,20.0,Freitag,March
Friday,3,22,20.5,Freitag,March
Friday,3,23,14.0,Freitag,March
Friday,4,0,4.0,Freitag,April
Friday,4,1,1.75,Freitag,April
Friday,4,2,2.75,Freitag,April
Friday,4,3,0.75,Freitag,April
Friday,4,4,6.25,Freitag,April
Friday,4,5,14.0,Freitag,April
Friday,4,6,67.0,Freitag,April
Friday,4,7,96.5,Freitag,April
Friday,4,8,111.5,Freitag,April
Friday,4,9,268.0,Freitag,April
Friday,4,10,278.75,Freitag,April
Friday,4,11,165.25,Freitag,April
Friday,4,12,133.25,Freitag,April
Friday,4,13,130.25,Freitag,April
Friday,4,14,116.5,Freitag,April
Friday,4,15,95.25,Freitag,April
Friday,4,16,73.5,Freitag,April
Friday,4,17,68.5,Freitag,April
Friday,4,18,74.25,Freitag,April
Friday,4,19,40.25,Freitag,April
Friday,4,20,26.0,Freitag,April
Friday,4,21,14.0,Freitag,April
Friday,4,22,16.5,Freitag,April
Friday,4,23,11.5,Freitag,April
Friday,5,0,4.2,Freitag,May
Friday,5,1,1.0,Freitag,May
Friday,5,2,3.0,Freitag,May
Friday,5,3,1.8,Freitag,May
Friday,5,4,7.2,Freitag,May
Friday,5,5,14.4,Freitag,May
Friday,5,6,65.6,Freitag,May
Friday,5,7,79.4,Freitag,May
Friday,5,8,111.2,Freitag,May
Friday,5,9,232.8,Freitag,May
Friday,5,10,157.4,Freitag,May
Friday,5,11,118.2,Freitag,May
Friday,5,12,115.4,Freitag,May
Friday,5,13,124.0,Freitag,May
Friday,5,14,111.8,Freitag,May
Friday,5,15,82.6,Freitag,May
Friday,5,16,70.8,Freitag,May
Friday,5,17,77.0,Freitag,May
Friday,5,18,81.8,Freitag,May
Friday,5,19,44.8,Freitag,May
Friday,5,20,25.2,Freitag,May
Friday,5,21,20.0,Freitag,May
Friday,5,22,17.0,Freitag,May
Friday,5,23,13.4,Freitag,May
Friday,6,0,7.0,Freitag,June
Friday,6,1,3.5,Freitag,June
Friday,6,2,3.5,Freitag,June
Friday,6,3,2.0,Freitag,June
Friday,6,4,8.0,Freitag,June
Friday,6,5,16.25,Freitag,June
Friday,6,6,71.25,Freitag,June
Friday,6,7,101.25,Freitag,June
Friday,6,8,110.0,Freitag,June
Friday,6,9,163.5,Freitag,June
Friday,6,10,148.25,Freitag,June
Friday,6,11,115.25,Freitag,June
Friday,6,12,109.25,Freitag,June
Friday,6,13,110.25,Freitag,June
Friday,6,14,110.5,Freitag,June
Friday,6,15,86.75,Freitag,June
Friday,6,16,79.25,Freitag,June
Friday,6,17,109.5,Freitag,June
Friday,6,18,133.75,Freitag,June
Friday,6,19,60.0,Freitag,June
Friday,6,20,31.75,Freitag,June
Friday,6,21,22.5,Freitag,June
Friday,6,22,19.5,Freitag,June
Friday,6,23,12.5,Freitag,June
Friday,7,0,4.0,Freitag,July
Friday,7,1,3.3333333333333335,Freitag,July
Friday,7,2,4.0,Freitag,July
Friday,7,3,4.0,Freitag,July
Friday,7,4,8.0,Freitag,July
Friday,7,5,14.333333333333334,Freitag,July
Friday,7,6,73.0,Freitag,July
Friday,7,7,93.66666666666667,Freitag,July
Friday,7,8,118.66666666666667,Freitag,July
Friday,7,9,216.33333333333334,Freitag,July
Friday,7,10,178.66666666666666,Freitag,July
Friday,7,11,142.66666666666666,Freitag,July
Friday,7,12,114.33333333333333,Freitag,July
Friday,7,13,106.0,Freitag,July
Friday,7,14,93.66666666666667,Freitag,July
Friday,7,15,76.33333333333333,Freitag,July
Friday,7,16,75.0,Freitag,July
Friday,7,17,86.33333333333333,Freitag,July
Friday,7,18,70.33333333333333,Freitag,July
Friday,7,19,44.333333333333336,Freitag,July
Friday,7,20,30.666666666666668,Freitag,July
Friday,7,21,18.333333333333332,Freitag,July
Friday,7,22,21.333333333333332,Freitag,July
Friday,7,23,12.666666666666666,Freitag,July
Friday,8,0,5.2,Freitag,August
Friday,8,1,2.6,Freitag,August
Friday,8,2,2.4,Freitag,August
Friday,8,3,2.2,Freitag,August
Friday,8,4,6.4,Freitag,August
Friday,8,5,14.6,Freitag,August
Friday,8,6,64.2,Freitag,August
Friday,8,7,92.4,Freitag,August
Friday,8,8,114.4,Freitag,August
Friday,8,9,212.8,Freitag,August
Friday,8,10,201.0,Freitag,August
Friday,8,11,148.6,Freitag,August
Friday,8,12,97.8,Freitag,August
Friday,8,13,87.6,Freitag,August
Friday,8,14,88.6,Freitag,August
Friday,8,15,94.0,Freitag,August
Friday,8,16,77.0,Freitag,August
Friday,8,17,64.8,Freitag,August
Friday,8,18,69.2,Freitag,August
Friday,8,19,51.2,Freitag,August
Friday,8,20,30.4,Freitag,August
Friday,8,21,21.8,Freitag,August
Friday,8,22,11.2,Freitag,August
Friday,8,23,12.8,Freitag,August
Friday,9,0,4.5,Freitag,September
Friday,9,1,1.0,Freitag,September
Friday,9,2,2.25,Freitag,September
Friday,9,3,2.75,Freitag,September
Friday,9,4,4.5,Freitag,September
Friday,9,5,16.0,Freitag,September
Friday,9,6,67.25,Freitag,September
Friday,9,7,91.5,Freitag,September
Friday,9,8,95.75,Freitag,September
Friday,9,9,155.25,Freitag,September
Friday,9,10,159.5,Freitag,September
Friday,9,11,130.5,Freitag,September
Friday,9,12,111.75,Freitag,September
Friday,9,13,127.75,Freitag,September
Friday,9,14,108.25,Freitag,September
Friday,9,15,90.75,Freitag,September
Friday,9,16,80.75,Freitag,September
Friday,9,17,88.25,Freitag,September
Friday,9,18,65.5,Freitag,September
Friday,9,19,44.0,Freitag,September
Friday,9,20,24.75,Freitag,September
Friday,9,21,21.25,Freitag,September
Friday,9,22,16.25,Freitag,September
Friday,9,23,15.0,Freitag,September
Friday,10,0,3.0,Freitag,October
Friday,10,1,1.25,Freitag,October
Friday,10,2,2.25,Freitag,October
Friday,10,3,1.0,Freitag,October
Friday,10,4,6.0,Freitag,October
Friday,10,5,13.25,Freitag,October
Friday,10,6,73.75,Freitag,October
Friday,10,7,96.0,Freitag,October
Friday,10,8,105.25,Freitag,October
Friday,10,9,177.75,Freitag,October
Friday,10,10,193.75,Freitag,October
Friday,10,11,169.5,Freitag,October
Friday,10,12,132.25,Freitag,October
Friday,10,13,121.0,Freitag,October
Friday,10,14,104.25,Freitag,October
Friday,10,15,88.25,Freitag,October
Friday,10,16,78.25,Freitag,October
Friday,10,17,64.0,Freitag,October
Friday,10,18,63.0,Freitag,October
Friday,10,19,38.0,Freitag,October
Friday,10,20,32.75,Freitag,October
Friday,10,21,17.25,Freitag,October
Friday,10,22,18.5,Freitag,October
Friday,10,23,14.25,Freitag,October
Friday,11,0,5.6,Freitag,November
Friday,11,1,0.8,Freitag,November
Friday,11,2,1.6,Freitag,November
Friday,11,3,2.4,Freitag,November
Friday,11,4,6.0,Freitag,November
Friday,11,5,17.2,Freitag,November
Friday,11,6,75.6,Freitag,November
Friday,11,7,91.2,Freitag,November
Friday,11,8,107.0,Freitag,November
Friday,11,9,147.8,Freitag,November
Friday,11,10,167.0,Freitag,November
Friday,11,11,116.0,Freitag,November
Friday,11,12,106.8,Freitag,November
Friday,11,13,103.6,Freitag,November
Friday,11,14,108.6,Freitag,November
Friday,11,15,72.2,Freitag,November
Friday,11,16,79.2,Freitag,November
Friday,11,17,91.6,Freitag,November
Friday,11,18,66.0,Freitag,November
Friday,11,19,43.0,Freitag,November
Friday,11,20,25.0,Freitag,November
Friday,11,21,19.4,Freitag,November
Friday,11,22,18.6,Freitag,November
Friday,11,23,14.0,Freitag,November
Friday,12,0,3.0,Freitag,December
Friday,12,1,1.5,Freitag,December
Friday,12,2,1.75,Freitag,December
Friday,12,3,1.5,Freitag,December
Friday,12,4,5.5,Freitag,December
Friday,12,5,13.75,Freitag,December
Friday,12,6,59.5,Freitag,December
Friday,12,7,72.0,Freitag,December
Friday,12,8,87.75,Freitag,December
Friday,12,9,121.5,Freitag,December
Friday,12,10,152.0,Freitag,December
Friday,12,11,123.0,Freitag,December
Friday,12,12,121.75,Freitag,December
Friday,12,13,93.75,Freitag,December
Friday,12,14,93.25,Freitag,December
Friday,12,15,66.0,Freitag,December
Friday,12,16,70.5,Freitag,December
Friday,12,17,48.5,Freitag,December
Friday,12,18,58.25,Freitag,December
Friday,12,19,36.25,Freitag,December
Friday,12,20,28.25,Freitag,December
Friday,12,21,17.25,Freitag,December
Friday,12,22,20.25,Freitag,December
Friday,12,23,14.75,Freitag,December
Monday,3,0,1.25,Montag,March
Monday,3,1,3.0,Montag,March
Monday,3,2,4.0,Montag,March
Monday,3,3,1.75,Montag,March
Monday,3,4,7.25,Montag,March
Monday,3,5,19.0,Montag,March
Monday,3,6,62.75,Montag,March
Monday,3,7,84.5,Montag,March
Monday,3,8,110.0,Montag,March
Monday,3,9,144.0,Montag,March
Monday,3,10,148.25,Montag,March
Monday,3,11,126.5,Montag,March
Monday,3,12,108.75,Montag,March
Monday,3,13,92.25,Montag,March
Monday,3,14,98.0,Montag,March
Monday,3,15,63.25,Montag,March
Monday,3,16,55.25,Montag,March
Monday,3,17,74.0,Montag,March
Monday,3,18,68.5,Montag,March
Monday,3,19,51.25,Montag,March
Monday,3,20,28.25,Montag,March
Monday,3,21,23.25,Montag,March
Monday,3,22,11.25,Montag,March
Monday,3,23,5.5,Montag,March
Monday,4,0,2.5,Montag,April
Monday,4,1,1.5,Montag,April
Monday,4,2,1.25,Montag,April
Monday,4,3,0.75,Montag,April
Monday,4,4,7.5,Montag,April
Monday,4,5,15.5,Montag,April
Monday,4,6,61.75,Montag,April
Monday,4,7,74.5,Montag,April
Monday,4,8,104.25,Montag,April
Monday,4,9,234.25,Montag,April
Monday,4,10,245.75,Montag,April
Monday,4,11,132.0,Montag,April
Monday,4,12,97.5,Montag,April
Monday,4,13,95.5,Montag,April
Monday,4,14,82.75,Montag,April
Monday,4,15,77.75,Montag,April
Monday,4,16,61.75,Montag,April
Monday,4,17,76.0,Montag,April
Monday,4,18,78.0,Montag,April
Monday,4,19,52.5,Montag,April
Monday,4,20,34.5,Montag,April
Monday,4,21,20.25,Montag,April
Monday,4,22,14.0,Montag,April
Monday,4,23,8.5,Montag,April
Monday,5,0,3.3333333333333335,Montag,May
Monday,5,1,3.0,Montag,May
Monday,5,2,3.6666666666666665,Montag,May
Monday,5,3,2.0,Montag,May
Monday,5,4,7.333333333333333,Montag,May
Monday,5,5,19.666666666666668,Montag,May
Monday,5,6,61.333333333333336,Montag,May
Monday,5,7,76.66666666666667,Montag,May
Monday,5,8,98.66666666666667,Montag,May
Monday,5,9,150.33333333333334,Montag,May
Monday,5,10,141.0,Montag,May
Monday,5,11,119.66666666666667,Montag,May
Monday,5,12,85.0,Montag,May
Monday,5,13,74.33333333333333,Montag,May
Monday,5,14,69.33333333333333,Montag,May
Monday,5,15,57.333333333333336,Montag,May
Monday,5,16,57.0,Montag,May
Monday,5,17,69.66666666666667,Montag,May
Monday,5,18,76.33333333333333,Montag,May
Monday,5,19,57.666666666666664,Montag,May
Monday,5,20,30.0,Montag,May
Monday,5,21,27.333333333333332,Montag,May
Monday,5,22,10.0,Montag,May
Monday,5,23,8.333333333333334,Montag,May
Monday,6,0,2.0,Montag,June
Monday,6,1,1.5,Montag,June
Monday,6,2,2.25,Montag,June
Monday,6,3,1.5,Montag,June
Monday,6,4,6.25,Montag,June
Monday,6,5,17.0,Montag,June
Monday,6,6,71.25,Montag,June
Monday,6,7,72.5,Montag,June
Monday,6,8,101.0,Montag,June
Monday,6,9,162.5,Montag,June
Monday,6,10,144.0,Montag,June
Monday,6,11,130.75,Montag,June
Monday,6,12,118.5,Montag,June
Monday,6,13,103.25,Montag,June
Monday,6,14,87.5,Montag,June
Monday,6,15,78.5,Montag,June
Monday,6,16,65.0,Montag,June
Monday,6,17,81.0,Montag,June
Monday,6,18,84.0,Montag,June
Monday,6,19,69.25,Montag,June
Monday,6,20,41.0,Montag,June
Monday,6,21,20.0,Montag,June
Monday,6,22,15.0,Montag,June
Monday,6,23,6.75,Montag,June
Monday,7,0,2.25,Montag,July
Monday,7,1,1.25,Montag,July
Monday,7,2,3.0,Montag,July
Monday,7,3,1.0,Montag,July
Monday,7,4,7.75,Montag,July
Monday,7,5,17.5,Montag,July
Monday,7,6,72.25,Montag,July
Monday,7,7,86.25,Montag,July
Monday,7,8,128.25,Montag,July
Monday,7,9,211.25,Montag,July
Monday,7,10,211.0,Montag,July
Monday,7,11,155.25,Montag,July
Monday,7,12,122.25,Montag,July
Monday,7,13,103.0,Montag,July
Monday,7,14,87.5,Montag,July
Monday,7,15,76.0,Montag,July
Monday,7,16,78.75,Montag,July
Monday,7,17,88.75,Montag,July
Monday,7,18,83.25,Montag,July
Monday,7,19,62.5,Montag,July
Monday,7,20,37.75,Montag,July
Monday,7,21,20.5,Montag,July
Monday,7,22,15.75,Montag,July
Monday,7,23,5.75,Montag,July
Monday,8,0,2.25,Montag,August
Monday,8,1,0.75,Montag,August
Monday,8,2,1.25,Montag,August
Monday,8,3,2.75,Montag,August
Monday,8,4,5.75,Montag,August
Monday,8,5,17.5,Montag,August
Monday,8,6,65.5,Montag,August
Monday,8,7,84.5,Montag,August
Monday,8,8,111.5,Montag,August
Monday,8,9,192.0,Montag,August
Monday,8,10,196.25,Montag,August
Monday,8,11,149.5,Montag,August
Monday,8,12,117.75,Montag,August
Monday,8,13,93.5,Montag,August
Monday,8,14,91.0,Montag,August
Monday,8,15,76.75,Montag,August
Monday,8,16,62.5,Montag,August
Monday,8,17,80.75,Montag,August
Monday,8,18,82.25,Montag,August
Monday,8,19,59.5,Montag,August
Monday,8,20,29.75,Montag,August
Monday,8,21,21.25,Montag,August
Monday,8,22,13.25,Montag,August
Monday,8,23,7.0,Montag,August
Monday,9,0,3.2,Montag,September
Monday,9,1,1.2,Montag,September
Monday,9,2,2.4,Montag,September
Monday,9,3,2.0,Montag,September
Monday,9,4,6.6,Montag,September
Monday,9,5,17.6,Montag,September
Monday,9,6,71.8,Montag,September
Monday,9,7,76.6,Montag,September
Monday,9,8,95.2,Montag,September
Monday,9,9,152.0,Montag,September
Monday,9,10,145.0,Montag,September
Monday,9,11,127.8,Montag,September
Monday,9,12,108.2,Montag,September
Monday,9,13,92.0,Montag,September
Monday,9,14,85.4,Montag,September
Monday,9,15,71.2,Montag,September
Monday,9,16,56.8,Montag,September
Monday,9,17,85.4,Montag,September
Monday,9,18,70.0,Montag,September
Monday,9,19,50.8,Montag,September
Monday,9,20,29.2,Montag,September
Monday,9,21,19.2,Montag,September
Monday,9,22,14.4,Montag,September
Monday,9,23,25.2,Montag,September
Monday,10,0,1.75,Montag,October
Monday,10,1,0.75,Montag,October
Monday,10,2,2.25,Montag,October
Monday,10,3,0.75,Montag,October
Monday,10,4,7.5,Montag,October
Monday,10,5,14.25,Montag,October
Monday,10,6,79.5,Montag,October
Monday,10,7,83.75,Montag,October
Monday,10,8,111.25,Montag,October
Monday,10,9,210.5,Montag,October
Monday,10,10,249.75,Montag,October
Monday,10,11,155.25,Montag,October
Monday,10,12,111.0,Montag,October
Monday,10,13,111.0,Montag,October
Monday,10,14,132.0,Montag,October
Monday,10,15,87.25,Montag,October
Monday,10,16,77.0,Montag,October
Monday,10,17,85.75,Montag,October
Monday,10,18,68.75,Montag,October
Monday,10,19,53.75,Montag,October
Monday,10,20,28.75,Montag,October
Monday,10,21,16.5,Montag,October
Monday,10,22,8.75,Montag,October
Monday,10,23,4.75,Montag,October
Monday,11,0,3.25,Montag,November
Monday,11,1,1.75,Montag,November
Monday,11,2,1.0,Montag,November
Monday,11,3,1.25,Montag,November
Monday,11,4,8.0,Montag,November
