weekday,month,hour,vehicles,weekday_de,month_name
Friday,8,0,134.0,Freitag,August
Friday,8,1,108.5,Freitag,August
Friday,8,2,86.25,Freitag,August
Friday,8,3,87.75,Freitag,August
Friday,8,4,130.0,Freitag,August
Friday,8,5,271.25,Freitag,August
Friday,8,6,429.5,Freitag,August
Friday,8,7,437.5,Freitag,August
Friday,8,8,387.25,Freitag,August
Friday,8,9,381.5,Freitag,August
Friday,8,10,432.5,Freitag,August
Friday,8,11,466.75,Freitag,August
Friday,8,12,461.0,Freitag,August
Friday,8,13,452.75,Freitag,August
Friday,8,14,452.25,Freitag,August
Friday,8,15,482.5,Freitag,August
Friday,8,16,512.5,Freitag,August
Friday,8,17,531.75,Freitag,August
Friday,8,18,488.25,Freitag,August
Friday,8,19,437.25,Freitag,August
Friday,8,20,391.75,Freitag,August
Friday,8,21,380.5,Freitag,August
Friday,8,22,372.25,Freitag,August
Friday,8,23,336.25,Freitag,August
Friday,9,0,140.0,Freitag,September
Friday,9,1,98.25,Freitag,September
Friday,9,2,80.125,Freitag,September
Friday,9,3,82.625,Freitag,September
Friday,9,4,119.875,Freitag,September
Friday,9,5,268.75,Freitag,September
Friday,9,6,427.375,Freitag,September
Friday,9,7,437.75,Freitag,September
Friday,9,8,429.25,Freitag,September
Friday,9,9,402.625,Freitag,September
Friday,9,10,426.125,Freitag,September
Friday,9,11,449.125,Freitag,September
Friday,9,12,457.875,Freitag,September
Friday,9,13,462.75,Freitag,September
Friday,9,14,459.75,Freitag,September
Friday,9,15,481.375,Freitag,September
Friday,9,16,528.25,Freitag,September
Friday,9,17,521.375,Freitag,September
Friday,9,18,510.875,Freitag,September
Friday,9,19,450.5,Freitag,September
Friday,9,20,388.375,Freitag,September
Friday,9,21,363.5,Freitag,September
Friday,9,22,377.625,Freitag,September
Friday,9,23,340.875,Freitag,September
Friday,10,0,130.375,Freitag,October
Friday,10,1,98.125,Freitag,October
Friday,10,2,76.375,Freitag,October
Friday,10,3,82.375,Freitag,October
Friday,10,4,121.375,Freitag,October
Friday,10,5,254.375,Freitag,October
Friday,10,6,418.625,Freitag,October
Friday,10,7,428.75,Freitag,October
Friday,10,8,404.625,Freitag,October
Friday,10,9,399.625,Freitag,October
Friday,10,10,416.0,Freitag,October
Friday,10,11,427.125,Freitag,October
Friday,10,12,452.0,Freitag,October
Friday,10,13,460.125,Freitag,October
Friday,10,14,456.75,Freitag,October
Friday,10,15,486.5,Freitag,October
Friday,10,16,512.25,Freitag,October
Friday,10,17,509.5,Freitag,October
Friday,10,18,492.25,Freitag,October
Friday,10,19,424.25,Freitag,October
Friday,10,20,393.375,Freitag,October
Friday,10,21,347.25,Freitag,October
Friday,10,22,382.875,Freitag,October
Friday,10,23,318.875,Freitag,October
Friday,11,0,142.9,Freitag,November
Friday,11,1,103.5,Freitag,November
Friday,11,2,88.2,Freitag,November
Friday,11,3,91.4,Freitag,November
Friday,11,4,133.0,Freitag,November
Friday,11,5,258.9,Freitag,November
Friday,11,6,405.2,Freitag,November
Friday,11,7,429.5,Freitag,November
Friday,11,8,411.1,Freitag,November
Friday,11,9,395.1,Freitag,November
Friday,11,10,425.5,Freitag,November
Friday,11,11,445.3,Freitag,November
Friday,11,12,469.5,Freitag,November
Friday,11,13,464.8,Freitag,November
Friday,11,14,466.3,Freitag,November
Friday,11,15,488.1,Freitag,November
Friday,11,16,515.1,Freitag,November
Friday,11,17,511.7,Freitag,November
Friday,11,18,479.4,Freitag,November
Friday,11,19,408.1,Freitag,November
Friday,11,20,383.8,Freitag,November
Friday,11,21,336.1,Freitag,November
Friday,11,22,404.7,Freitag,November
Friday,11,23,364.7,Freitag,November
Friday,12,0,158.25,Freitag,December
Friday,12,1,120.875,Freitag,December
Friday,12,2,100.75,Freitag,December
Friday,12,3,95.625,Freitag,December
Friday,12,4,129.125,Freitag,December
Friday,12,5,233.5,Freitag,December
Friday,12,6,366.25,Freitag,December
Friday,12,7,403.625,Freitag,December
Friday,12,8,396.875,Freitag,December
Friday,12,9,387.75,Freitag,December
Friday,12,10,432.0,Freitag,December
Friday,12,11,444.0,Freitag,December
Friday,12,12,481.5,Freitag,December
Friday,12,13,489.625,Freitag,December
Friday,12,14,487.75,Freitag,December
Friday,12,15,490.875,Freitag,December
Friday,12,16,506.125,Freitag,December
Friday,12,17,486.0,Freitag,December
Friday,12,18,450.75,Freitag,December
Friday,12,19,406.125,Freitag,December
Friday,12,20,368.75,Freitag,December
Friday,12,21,329.0,Freitag,December
Friday,12,22,353.5,Freitag,December
Friday,12,23,335.5,Freitag,December
Monday,8,0,111.5,Montag,August
Monday,8,1,67.75,Montag,August
Monday,8,2,61.5,Montag,August
Monday,8,3,67.25,Montag,August
Monday,8,4,104.5,Montag,August
Monday,8,5,276.75,Montag,August
Monday,8,6,425.25,Montag,August
Monday,8,7,440.75,Montag,August
Monday,8,8,426.0,Montag,August
Monday,8,9,396.5,Montag,August
Monday,8,10,404.75,Montag,August
Monday,8,11,426.0,Montag,August
Monday,8,12,442.25,Montag,August
Monday,8,13,437.25,Montag,August
Monday,8,14,422.0,Montag,August
Monday,8,15,453.75,Montag,August
Monday,8,16,503.75,Montag,August
Monday,8,17,552.75,Montag,August
Monday,8,18,508.25,Montag,August
Monday,8,19,421.5,Montag,August
Monday,8,20,360.5,Montag,August
Monday,8,21,321.25,Montag,August
Monday,8,22,249.5,Montag,August
Monday,8,23,155.75,Montag,August
Monday,9,0,110.6,Montag,September
Monday,9,1,64.7,Montag,September
Monday,9,2,61.3,Montag,September
Monday,9,3,59.9,Montag,September
Monday,9,4,109.1,Montag,September
Monday,9,5,281.9,Montag,September
Monday,9,6,438.1,Montag,September
Monday,9,7,438.6,Montag,September
Monday,9,8,420.8,Montag,September
Monday,9,9,389.8,Montag,September
Monday,9,10,387.1,Montag,September
Monday,9,11,415.3,Montag,September
